Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,11.0,1.0,11.0,11.0,0.0,4.535288832573997,4.535288832573997,0.0,0.0,,,,,,,,,,,,,,,,1.2077314173236042,1.550555717074046,4.526530317300738,9.97002999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,60.0,2.0,49.0,60.0,0.0,38.086954250807,38.086954250807,0.0,3.92020320892334,,,,,,,,,,,,,,,,16.00010130352779,11.661528521974283,37.34028957651065,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,102.0,3.0,42.0,102.0,0.0,36.23341698475032,36.23341698475032,0.0,7.1695942878723145,,,,,,,,,,,,,,,,16.978488058304656,10.904961914776347,35.5558763626642,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,124.0,4.0,22.0,124.0,0.0,16.711852639812488,16.711852639812488,0.0,9.038384437561035,,,,,,,,,,,,,,,,7.193357427323402,5.127561038931005,16.57016894535673,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,176.0,5.0,52.0,176.0,0.0,28.462850533517496,28.462850533517496,0.0,12.958828926086426,,,,,,,,,,,,,,,,11.834094057531331,9.13238247692307,27.875352995521386,9.97002999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,210.0,6.0,34.0,210.0,0.0,23.5205237158192,23.5205237158192,0.0,15.690901517868042,,,,,,,,,,,,,,,,10.192396683660427,7.659221910205669,23.197179407982734,9.95009990004999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,230.0,7.0,20.0,230.0,0.0,12.191693744064299,12.191693744064299,0.0,17.524114847183228,,,,,,,,,,,,,,,,4.83830951307254,3.694232048907542,12.10703458839124,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,245.0,8.0,15.0,245.0,0.0,5.21292908471263,5.21292908471263,0.0,18.94682240486145,,,,,,,,,,,,,,,,1.5534004459017219,1.8145795250467467,5.194822900925029,9.94014980014994e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,260.0,9.0,15.0,260.0,0.0,6.12683635786855,6.12683635786855,0.0,20.404332876205444,,,,,,,,,,,,,,,,2.8828494431485447,1.509501387174684,6.089683299520843,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,304.0,10.0,44.0,304.0,0.0,30.539971364990276,30.539971364990276,0.0,23.819939613342285,,,,,,,,,,,,,,,,11.703312079199623,9.59103597690195,30.055080714219706,9.96005996001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.0,0.0,72.0,1.0,72.0,376.0,0.0,47.67924369115043,47.67924369115043,0.0,46.58180022239685,,,,,,,,,,,,,,,,21.68498647525958,13.574171719386577,46.16408875368543,9.99e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,0.0,103.0,2.0,31.0,407.0,0.0,21.162547145743304,21.162547145743304,0.0,49.1169331073761,,,,,,,,,,,,,,,,9.415786808168772,5.871142877618683,20.89154930399407,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,0.0,144.0,3.0,41.0,448.0,0.0,17.55658015618193,17.55658015618193,0.0,52.375344038009644,,,,,,,,,,,,,,,,11.634186822864903,6.282224578331136,17.38995109069563,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,0.0,191.0,4.0,47.0,495.0,0.0,37.370017240134906,37.370017240134906,0.0,55.93681454658508,,,,,,,,,,,,,,,,17.05159662323543,11.11242371964874,36.60519739623907,9.98001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,0.0,221.0,5.0,30.0,525.0,0.0,19.46577666034067,19.46577666034067,0.0,58.39638805389404,,,,,,,,,,,,,,,,9.094953068563422,6.20609200811056,19.212140208492258,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,0.0,234.0,6.0,13.0,538.0,0.0,6.990911624463739,6.990911624463739,0.0,59.74140119552612,,,,,,,,,,,,,,,,3.341897044059033,2.1386961095485475,6.954421384275247,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,0.0,293.0,7.0,59.0,597.0,0.0,48.16932131784078,48.16932131784078,0.0,64.28492426872253,,,,,,,,,,,,,,,,22.07227897176874,14.068658032574021,46.913970829335774,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,319.0,8.0,26.0,623.0,0.0,18.457899250417157,18.457899250417157,0.0,66.50399398803711,,,,,,,,,,,,,,,,7.755839976962594,5.431966958200366,18.27452193294908,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,362.0,9.0,43.0,666.0,0.0,33.18037525604877,33.18037525604877,0.0,69.81772422790527,,,,,,,,,,,,,,,,15.75458291586366,10.680251618877767,32.53546365432098,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,398.0,10.0,36.0,702.0,0.0,30.495585265924372,30.495585265924372,0.0,72.67536211013794,,,,,,,,,,,,,,,,14.744919796802982,9.543166504005208,29.994762916155626,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.0,0.0,33.0,1.0,33.0,735.0,0.0,23.151411498791347,23.151411498791347,0.0,92.37173819541931,,,,,,,,,,,,,,,,9.235245638467456,7.287948440887218,22.869517910632556,9.99e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.0,0.0,81.0,2.0,48.0,783.0,0.0,44.39528553428944,44.39528553428944,0.0,96.1626307964325,,,,,,,,,,,,,,,,21.28107551844243,13.065452740570231,43.41721112052473,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.0,0.0,107.0,3.0,26.0,809.0,0.0,21.279520620432066,21.279520620432066,0.0,98.33599185943604,,,,,,,,,,,,,,,,9.63012527388841,6.42368677532805,21.05018755086183,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.0,0.0,149.0,4.0,42.0,851.0,0.0,30.54689851270194,30.54689851270194,0.0,101.81079173088074,,,,,,,,,,,,,,,,11.970978972667002,9.86165109349674,30.074191587437365,9.96005996001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.0,0.0,211.0,5.0,62.0,913.0,0.0,44.47601834386723,44.47601834386723,0.0,106.36513662338257,,,,,,,,,,,,,,,,19.66120809362057,13.637968115601325,43.300323765828594,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.0,0.0,252.0,6.0,41.0,954.0,0.0,26.07150153139293,26.07150153139293,0.0,109.5334689617157,,,,,,,,,,,,,,,,10.66181215467458,8.279108769565827,25.660027260311576,9.94014980014994e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.0,0.0,269.0,7.0,17.0,971.0,0.0,9.33372054272599,9.33372054272599,0.0,111.12217426300049,,,,,,,,,,,,,,,,3.503966171648809,2.8626541682780817,9.283436554362327,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0,0.0,288.0,8.0,19.0,990.0,0.0,7.599161532707187,7.599161532707187,0.0,112.84711384773254,,,,,,,,,,,,,,,,2.931676740781816,2.1218390461411327,7.551010685317652,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,0.0,302.0,9.0,14.0,1004.0,0.0,3.173510895752365,3.173510895752365,0.0,114.27090287208557,,,,,,,,,,,,,,,,1.8256135847073307,0.8012816843520524,3.1511034089754384,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.0,0.0,420.0,10.0,118.0,1122.0,0.0,91.80000851938384,91.80000851938384,0.0,122.65918207168579,,,,,,,,,,,,,,,,43.497026153471715,25.900087952260584,86.75411354682099,9.99e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3.0,0.0,42.0,1.0,42.0,1164.0,0.0,23.999190761524435,23.999190761524435,0.0,140.98453187942505,,,,,,,,,,,,,,,,8.431774230850218,7.212528499375124,23.668724968797523,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
