Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,183.0,1.0,183.0,183.0,0.0,373.4329999999991,373.4329999999991,0.0,0.0,,,,,,,,,,,,,,,,187.29017035598042,107.39764621682934,370.0425941419002,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,352.0,2.0,169.0,352.0,0.0,328.9189999999995,328.9189999999995,0.0,11.791135311126709,,,,,,,,,,,,,,,,161.72789863350195,92.79903048979787,326.2184203551296,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,406.0,3.0,54.0,406.0,0.0,92.67800001000005,92.67800001000005,0.0,15.97849178314209,,,,,,,,,,,,,,,,44.66475178994155,28.02418754445416,92.44605495582991,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,582.0,4.0,176.0,582.0,0.0,345.80099999999953,345.80099999999953,0.0,28.215358018875122,,,,,,,,,,,,,,,,182.14239673835291,97.27267439552377,342.6295567730827,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,750.0,5.0,168.0,750.0,0.0,320.9179999999997,320.9179999999997,0.0,39.910343170166016,,,,,,,,,,,,,,,,158.88166696799968,89.99704012311358,318.28061605654347,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,915.0,6.0,165.0,915.0,0.0,309.66499999999974,309.66499999999974,0.0,51.426090478897095,,,,,,,,,,,,,,,,155.26648867127415,89.06555601568742,307.13381631855617,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,1091.0,7.0,176.0,1091.0,0.0,286.80100000000004,286.80100000000004,0.0,63.725300788879395,,,,,,,,,,,,,,,,141.7475614914811,78.47270737028029,284.3346763853889,1.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,1263.0,8.0,172.0,1263.0,0.0,314.67199999999957,314.67199999999957,0.0,75.69412422180176,,,,,,,,,,,,,,,,160.48994933687788,91.98207975844606,311.94276714812077,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,1303.0,9.0,40.0,1303.0,0.0,74.03900001000001,74.03900001000001,0.0,78.78336787223816,,,,,,,,,,,,,,,,36.150317320621454,22.824720546484787,73.90178891960949,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,1478.0,10.0,175.0,1478.0,0.0,354.4249999999992,354.4249999999992,0.0,91.00124478340149,,,,,,,,,,,,,,,,177.9170820358652,102.51781360825701,351.34658572294506,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,1652.0,11.0,174.0,1652.0,0.0,327.9239999999995,327.9239999999995,0.0,103.05156445503235,,,,,,,,,,,,,,,,161.80779167775788,93.84581492439048,325.14105853066053,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
